iter	Logloss
0	0.679568634
1	0.6660413839
2	0.6529485099
3	0.6401743594
4	0.6283180847
5	0.6168397283
6	0.6063819492
7	0.5970666121
8	0.5890953016
9	0.5807906028
10	0.5717326848
11	0.5641530816
12	0.5567281249
13	0.5502330495
14	0.5437650676
15	0.5373778703
16	0.5311867394
17	0.5257550444
18	0.5202532281
19	0.5157670831
20	0.5107667111
21	0.5064985923
22	0.5023816441
23	0.4984616069
24	0.4944392547
25	0.4909099216
26	0.4871314875
27	0.4844746547
28	0.4815049404
29	0.4787340224
30	0.4757887816
31	0.4727020854
32	0.4698287167
33	0.4676905564
34	0.4658977855
35	0.4632912787
36	0.4608222346
37	0.4588343519
38	0.4570406444
39	0.4553320528
40	0.4534314588
41	0.4517108085
42	0.449617712
43	0.4483426715
44	0.4467157894
45	0.4449679199
46	0.4434064536
47	0.4421014941
48	0.440618421
49	0.4391949068
50	0.437755467
51	0.4364762378
52	0.43534188
53	0.4340364441
54	0.4329364929
55	0.4322593391
56	0.4310696213
57	0.4300386693
58	0.429063162
59	0.4282899692
60	0.4278741949
61	0.42676965
62	0.4258834256
63	0.4250196301
64	0.4242622865
65	0.4234843849
66	0.422769626
67	0.4220079195
68	0.4210746502
69	0.4204303707
70	0.419687842
71	0.4191660101
72	0.4186137372
73	0.4179758288
74	0.4174029173
75	0.4166635803
76	0.416080854
77	0.4153356579
78	0.4147015354
79	0.414155689
80	0.4136178916
81	0.4130304931
82	0.4124008264
83	0.4118485626
84	0.4113523748
85	0.4107802517
86	0.4103065863
87	0.4099082133
88	0.4094314742
89	0.4089000161
90	0.4086004548
91	0.4082491392
92	0.4078309368
93	0.4074795481
94	0.4069537231
95	0.4064986543
96	0.4060761462
97	0.4056047537
98	0.4052086978
99	0.4048532686
100	0.4043899418
101	0.4040281054
102	0.4036846645
103	0.4033493554
104	0.402971177
105	0.4025775865
106	0.4021997718
107	0.4017066978
108	0.4012819048
109	0.4008595289
110	0.4004995195
111	0.4002517994
112	0.4000021208
113	0.399557952
114	0.3992765259
115	0.3989150891
116	0.3986418139
117	0.3982222986
118	0.3979406475
119	0.3976176792
120	0.3973541153
121	0.3970115564
122	0.3965914078
123	0.3962195806
124	0.3959393526
125	0.3955853464
126	0.3952541543
127	0.3949383458
128	0.3946949584
129	0.3943642247
130	0.3941255324
131	0.3939131833
132	0.3936301792
133	0.3933884176
134	0.3931596247
135	0.392895201
136	0.3924646004
137	0.3922354826
138	0.391988612
139	0.3916419668
140	0.3913409985
141	0.3910799727
142	0.3908306652
143	0.3905710795
144	0.390213504
145	0.3899150985
146	0.3896171083
147	0.3893447064
148	0.3892063023
149	0.388930271
150	0.3886336688
151	0.3883230385
152	0.3880436255
153	0.3877977211
154	0.3876314962
155	0.3873369367
156	0.3870868997
157	0.38683448
158	0.386559264
159	0.3862776998
160	0.3860381823
161	0.3857520967
162	0.3854862728
163	0.3853445702
164	0.3851093566
165	0.3848319809
166	0.3845801683
167	0.3844310654
168	0.3841396827
169	0.3839169946
170	0.3836652805
171	0.3834053565
172	0.3831739838
173	0.3828732948
174	0.3826168221
175	0.3824124633
176	0.3822232139
177	0.382060806
178	0.3818413647
179	0.3815512035
180	0.3813471918
181	0.3811287115
182	0.3809838489
183	0.3808496365
184	0.3805765664
185	0.3803471452
186	0.3800650794
187	0.3798916349
188	0.3795935976
189	0.3794393806
190	0.3792835072
191	0.3790418773
192	0.3788590226
193	0.3786093543
194	0.3784721536
195	0.3783448626
196	0.3781099761
197	0.3779240668
198	0.3777868329
199	0.3775938981
200	0.3772821629
201	0.3770995364
202	0.3769253244
203	0.3766825972
204	0.3764894765
205	0.376185823
206	0.3759639295
207	0.3757343634
208	0.3755329678
209	0.3753454163
210	0.375233421
211	0.3750259157
212	0.3747938256
213	0.3746495666
214	0.374485101
215	0.3743491056
216	0.3741195582
217	0.3739746052
218	0.3736122595
219	0.3734098945
220	0.3732046105
221	0.3731953474
222	0.3729390494
223	0.3727432948
224	0.3725410441
225	0.3723073292
226	0.3719844121
227	0.3717172455
228	0.3715266341
229	0.3712608251
230	0.3710915838
231	0.3709039999
232	0.3707321576
233	0.3705917207
234	0.3703906746
235	0.3701608943
236	0.3699309483
237	0.3697153177
238	0.3695863509
239	0.3693655872
240	0.369238462
241	0.369033637
242	0.3689415847
243	0.3687965704
244	0.3686123822
245	0.3684244246
246	0.3682027939
247	0.3679345139
248	0.3677786445
249	0.3676224927
250	0.367396369
251	0.3672001929
252	0.3670379591
253	0.366808953
254	0.3667265483
255	0.3666098477
256	0.3664511062
257	0.3662673743
258	0.3661397364
259	0.3658793096
260	0.3657143306
261	0.3654816387
262	0.3652990645
263	0.3650063673
264	0.3648028556
265	0.3646132233
266	0.364416721
267	0.3642738976
268	0.3641303588
269	0.3639861345
270	0.3638960791
271	0.363720447
272	0.363585995
273	0.363405748
